,img_name,text,predicted_price_filled
0,511192609_2.jpg,109.0,109.0
1,508986495_2.jpg,64.0,-1.0
2,511284449_2.jpg,101.0,-1.0
3,509225880_2.jpg,229.0,229.0
4,509069568_2.jpg,39.0,39.0
5,511233000_2.jpg,60.0,60.0
6,508757881_2.jpg,49.0,-1.0
7,508765814_2.jpg,339.0,339.0
8,508810833_2.jpg,91.0,91.0
9,509211234_2.jpg,179.0,179.0
10,511271869_2.jpg,36.0,36.0
11,510831485_2.jpg,699.0,699.0
12,508761615_2.jpg,89.0,89.0
13,508778523_2.jpg,119.0,119.0
14,508761136_2.jpg,99.0,39.0
15,508766115_2.jpg,519.0,-1.0
16,508780477_2.jpg,1299.0,-1.0
17,483319396_2.jpg,119.0,119.0
18,510881945_2.jpg,369.0,369.0
19,511237922_2.jpg,459.0,59.0
20,508775610_2.jpg,189.0,189.0
21,510883561_2.jpg,75.0,5.0
22,508758346_2.jpg,159.0,159.0
23,508828667_2.jpg,69.0,69.0
24,508762471_2.jpg,899.0,-1.0
25,511295066_2.jpg,134.0,134.0
26,508757782_2.jpg,219.0,219.0
27,511282932_2.jpg,89.0,89.0
28,508758532_2.jpg,469.0,469.0
29,483319832_2.jpg,159.0,159.0
30,508775687_2.jpg,219.0,-1.0
31,509390364_2.jpg,139.0,139.0
32,508782806_2.jpg,124.0,124.0
33,508777209_2.jpg,239.0,-1.0
34,508758650_2.jpg,84.0,84.0
35,508761253_2.jpg,103.0,103.0
36,508762286_2.jpg,109.0,-1.0
37,509664414_2.jpg,319.0,319.0
38,509513072_2.jpg,51.0,5.0
39,510880056_2.jpg,149.0,149.0
40,508761494_2.jpg,159.0,159.0
41,508763828_2.jpg,209.0,209.0
42,508782796_2.jpg,239.0,239.0
43,508758351_2.jpg,149.0,149.0
44,510879756_2.jpg,569.0,569.0
45,510884761_2.jpg,89.0,89.0
46,510884729_2.jpg,379.0,379.0
47,511296006_2.jpg,153.0,153.0
48,509706173_2.jpg,159.0,159.0
49,510880193_2.jpg,111.0,-1.0
50,510885200_2.jpg,67.0,7.0
51,510883522_2.jpg,82.0,82.0
52,511237937_2.jpg,439.0,439.0
53,511267350_2.jpg,1599.0,1599.0
54,508800028_2.jpg,519.0,519.0
55,481897043_2.jpg,1199.0,993.0
56,508761154_2.jpg,99.0,99.0
57,508783272_2.jpg,119.0,-1.0
58,511198253_2.jpg,34.0,34.0
59,508757679_2.jpg,289.0,289.0
60,511270508_2.jpg,379.0,379.0
61,487495307_2.jpg,499.0,499.0
62,508757688_2.jpg,79.0,79.0
63,483319601_2.jpg,289.0,289.0
64,508763154_2.jpg,199.0,199.0
65,508757577_2.jpg,65.0,65.0
66,508813351_2.jpg,299.0,2939.0
67,511259468_2.jpg,69.0,-1.0
68,487495060_2.jpg,359.0,359.0
69,508813235_2.jpg,113.0,-1.0
70,508765285_2.jpg,66.0,-1.0
71,508759697_2.jpg,739.0,-1.0
72,509267336_2.jpg,1299.0,1299.0
73,508811794_2.jpg,189.0,189.0
74,508758529_2.jpg,419.0,419.0
75,510886363_2.jpg,129.0,2393.0
76,509513071_2.jpg,99.0,99.0
77,510881946_2.jpg,209.0,209.0
78,510884671_2.jpg,819.0,819.0
79,508795849_2.jpg,179.0,179.0
80,508763063_2.jpg,43.0,-1.0
81,508810606_2.jpg,25.0,25.0
82,483319429_2.jpg,64.0,64.0
83,508763613_2.jpg,517.0,77.0
84,511295999_2.jpg,69.0,69.0
85,509225796_2.jpg,269.0,269.0
86,481897124_2.jpg,269.0,269.0
87,508764185_2.jpg,119.0,119.0
88,508776580_2.jpg,153.0,153.0
89,508759699_2.jpg,739.0,739.0
90,508776056_2.jpg,69.0,69.0
91,508761993_2.jpg,89.0,89.0
92,508785602_2.jpg,37.0,3.0
93,509226093_2.jpg,359.0,359.0
94,510915905_2.jpg,159.0,159.0
95,509664413_2.jpg,239.0,239.0
96,510883451_2.jpg,599.0,-1.0
97,508766070_2.jpg,719.0,719.0
98,508810541_2.jpg,379.0,379.0
99,511192173_2.jpg,36.0,36.0
100,508765728_2.jpg,219.0,219.0
101,508762501_2.jpg,459.0,-1.0
102,508761734_2.jpg,179.0,179.0
103,508763600_2.jpg,289.0,-1.0
104,508775701_2.jpg,109.0,402.0
105,508765702_2.jpg,89.0,89.0
106,510883784_2.jpg,539.0,539.0
107,508968073_2.jpg,83.0,83.0
108,508762561_2.jpg,139.0,139.0
109,481896459_2.jpg,1099.0,1099.0
110,483319841_2.jpg,159.0,159.0
111,483319443_2.jpg,79.0,79.0
112,509713517_2.jpg,379.0,379.0
113,508763638_2.jpg,69.0,69.0
114,509302660_2.jpg,129.0,129.0
115,481896383_2.jpg,629.0,629.0
116,510883438_2.jpg,1799.0,-1.0
117,508782312_2.jpg,134.0,134.0
118,508780911_2.jpg,399.0,399.0
119,510882084_2.jpg,349.0,349.0
120,508762914_2.jpg,16.0,16.0
121,487495394_2.jpg,46.0,46.0
